Product_titer_(UFC/ml),Recovery_Yield_(%),Optimal_concentration_of_agent_(UFC/ml),Final_batch_duration_(days),Material_Discount,CoG_($),Microorganism
1877381078,0.844716781,1000000,3.75,0.107749332,0.592173296,B. thuringiensis (Batch)
1727659298,0.882550377,1000000,3.75,0.036221682,0.624747206,B. thuringiensis (Batch)
1942731467,0.855965445,1000000,3.75,0.049772607,0.571303735,B. thuringiensis (Batch)
1859514809,0.763488149,1000000,3.75,0.095100947,0.663149409,B. thuringiensis (Batch)
1952265534,0.763864338,1000000,3.75,0.038189538,0.638524692,B. thuringiensis (Batch)
1747973780,0.763926066,1000000,3.75,0.055788117,0.710609938,B. thuringiensis (Batch)
1824735513,0.834621935,1000000,3.75,0.11447952,0.615794355,B. thuringiensis (Batch)
1674075818,0.874508619,1000000,3.75,0.034019748,0.65095634,B. thuringiensis (Batch)
1653875621,0.840817662,1000000,3.75,0.093682522,0.677223386,B. thuringiensis (Batch)
1848759672,0.828928159,1000000,3.75,0.091845796,0.614750461,B. thuringiensis (Batch)
1797340959,0.851899671,1000000,3.75,0.092990135,0.615145521,B. thuringiensis (Batch)
1781090206,0.859442727,1000000,3.75,0.102597661,0.614127117,B. thuringiensis (Batch)
1785690308,0.83616844,1000000,3.75,0.03515041,0.638107795,B. thuringiensis (Batch)
1613474978,0.832579551,1000000,3.75,0.121672567,0.697122738,B. thuringiensis (Batch)
1723359130,0.77759357,1000000,3.75,0.055101886,0.708187497,B. thuringiensis (Batch)
1732619929,0.844308844,1000000,3.75,0.072743511,0.64646935,B. thuringiensis (Batch)
1628515859,0.848294104,1000000,3.75,0.066589951,0.685403594,B. thuringiensis (Batch)
1759938806,0.828235389,1000000,3.75,0.097992451,0.645521244,B. thuringiensis (Batch)
1674694687,0.875182144,1000000,3.75,0.06045604,0.646815793,B. thuringiensis (Batch)
1711615390,0.766666762,1000000,3.75,0.058334298,0.722744886,B. thuringiensis (Batch)
1734614759,0.833512934,1000000,3.75,0.124133168,0.647391121,B. thuringiensis (Batch)
1769716203,0.806575554,1000000,3.75,0.080771616,0.661467559,B. thuringiensis (Batch)
1771357942,0.889561284,1000000,3.75,0.051888116,0.602658904,B. thuringiensis (Batch)
1519353735,0.742880949,1000000,3.75,0.065287083,0.839110787,B. thuringiensis (Batch)
1677078595,0.874024409,1000000,3.75,0.033281121,0.650245764,B. thuringiensis (Batch)
1642736949,0.84936836,1000000,3.75,0.085067692,0.676114993,B. thuringiensis (Batch)
1827121188,0.863746255,1000000,3.75,0.078805362,0.598513719,B. thuringiensis (Batch)
1765708078,0.837815758,1000000,3.75,0.094076527,0.636553553,B. thuringiensis (Batch)
1915620022,0.897997106,1000000,3.75,0.103079073,0.546430472,B. thuringiensis (Batch)
1579341706,0.836796889,1000000,3.75,0.105436334,0.710915125,B. thuringiensis (Batch)
