Hour,S.tenebrarius (C+),S.coelicolor (C-),CC101A,CC201A,CC201B,CC203A,CC203C,CC209B,CC209C,CC210B,CC213B,CC213C,CC224A,CC224D,CC224F,CC226B,CC226C,CC227B,CC227E,CC227F,CC227D,CC228B,CC227G,KL110A,KL110C,CC302R,CC303T,CC302I,CC307I ,CC307M,CC303U,KL102C,KL103A,KL104B,KL104C,KL106B,KL108A,KL108C,KL109B,KL110B,KL110D,KL111A,KL111B,KL111C,KL114A,KL115A,KL115B,KL116D,KL116E,KL118A,KL118B,KL122B,KL122C,TC101B,TC101C,TC101D,TC101E,TC101H,CR101A,MZ102A,MZ102B,MZ102C,MZ103A,MZ103B,MZ103C,HL101N,HL101P,HL101H,HL101C-67,HL101E,HL101J,CC201C,CC203B,CC208A,CC208B,CC209A,CC210A,CC211A,CC213A,CC213D,CC216A,CC216B,CC216C,CC219A,CC219B,CC219C,CC223A,CC224B,CC224C,CC224E,CC226D,CC227C,CC228A
5.17,9323,3575,3790,4246,4030.5,4258.5,4535.5,4337,4275.5,4772.5,4892.5,4998.5,4554,4042,3940.5,3977,4099.5,4161.5,4485,4325.5,4500.5,3778,8290,9365,3723,4165,4378.5,5910,3443,4089.5,3619,3183.5,3071,3045,3110,4228,3237.5,3191,3292,3174.5,3708.5,5268.5,3301,3558,4070,3144.5,4562,3182.5,11548.5,4163,4944,10453.5,4084,4534.5,4471,4104.5,4135.5,4172,10963,5142.5,5305.5,5292.5,6408.5,5361,5540,4384,5070,3812,3988.5,3713,3757,7055.5,4150.5,5069.5,4282.5,4532.5,4050.5,4568,7671,4274.5,5327.5,4503.5,4337.5,5351.5,4678,5407.5,4004.5,3976.5,6371,7404.5,13141.5,5488.5,5925.5
5.33,9581.5,3528.75,3865,4274.5,3996,4093.5,4371,4314.5,4219.5,4776.5,4767.5,5091.5,4478,4141,3914,3778.5,4007,4252.5,4519,4247.5,4305,3711,8304,9651,3781,3895.5,4556.5,5926.5,3434,4146.5,3415,3169.5,3115.5,3047.5,3198.5,4396,3165.5,3228.5,3225.5,3099,3421,5347,3439,3696.5,3821.5,3107.5,4577.5,3128,11721,4273,4789.5,9852.5,4240,4526.5,4530.5,4209.5,4068.5,4020,11129,5021,5246.5,5071.5,6202.5,5511.5,5425.5,4494,5048,3837.5,3922,3792.5,3834,7426.5,4657,4879.5,4361.5,4390,3984,4479.5,7792,4001,4765,4241.5,4085.5,5365,4475.5,5674,3847.5,3924.5,6567.5,7503,13370.5,5706.5,6108.5
5.50,9180,3583.25,3746,4102.5,3946,3966.5,4331.5,4197,4206,4616,4787,5128,4367.5,4168,4040.5,3840,4036.5,4256,4620,4138,4519.5,3749,8378,10221,3829.5,3787.5,4045,5713.5,3459,4225.5,3523.5,3236,3057,3178,3044,4481,3208.5,3092.5,3243,3084,3508,5316,3462,3457.5,4084.5,3081.5,4604,3204.5,11277.5,4261.5,4995,10063,3986.5,4561.5,4308.5,4128.5,4064,3922.5,10407,5228.5,5684.5,5310.5,6093.5,5690.5,5401.5,4444.5,4999,3885,3889.5,3658.5,3744,7288,4473,5138.5,4474,4359,4137.5,4528.5,7425.5,4127.5,4994.5,4135.5,4285.5,5341,4380,5523,3814.5,3709,6928.5,8532.5,12476.5,5857.5,6160
5.67,9777.25,3519,3828.5,4077.5,4044,4065.5,4326.5,4239,3949.5,4854,4541,4811,4344.5,4096,3973.5,4013.5,4064,4036.5,4374,4243,4147.5,3735,8750.5,10799,3892,3754,4174,5399,3424.5,4016,3476,3099,3020.5,3062,3069.5,4278,3118,3071.5,3340,3258,3649.5,5679.5,3441.5,3768.5,3815,3084.5,4773.5,3156,11421.5,4397.5,5095,9551.5,4255.5,4374.5,4320,4379.5,4231.5,3958,10231.5,5186,5659,5398,6286,5823,5552.5,4523.5,4521,3701,3933.5,3591,3716,7648.5,4465,5099,4354.5,4650,4172.5,4458,6854.5,4077,5060,4333.5,4177.5,5647,4571,5841.5,3936,3846.5,6778.5,9003,13012,6134,6391.5
5.83,9849.25,3539.25,3782.5,4132,3878.5,3957.5,4290,4229.5,4134,4704,4577,4871,4118,4277,4002.5,3892,4039,4184,4374,4020.5,4280.5,3811,9029,10512.5,3917.5,4006,4253,5877.5,3565,4075,3530,3115,3014,3085,3115,4436.5,3168,3169,3276,3185.5,3611,5726.5,3410,3662.5,3810,3176.5,4228.5,3094,10735.5,4203,5218.5,10131,4023.5,4376,4208,4243.5,4131.5,4108,10829.5,5195,5411,5605.5,6337.5,5659.5,5911,4597.5,4800,3818.5,3970,3602.5,3796.5,8104.5,4347.5,4729.5,4195.5,4387,4013,4705.5,7070.5,4024.5,5239.5,4212,4251,5192,4593,5695,3745.5,3864.5,7427.5,8691,13518.5,6226.5,6324.5
6.00,9578.5,3426,3790,4003,4019.5,4012.5,4421.5,4086.5,4212,4689.5,4491.5,4911,4385,3908,3981,3888.5,4003.5,4206.5,4229.5,4077,4115,3724.5,9139,11340,3773.5,4058,4035,5608.5,3516.5,4115,3505.5,3073,3140.5,3084,3133.5,4721.5,3029,3059,3388,3107,3872,6125.5,3531,3731.5,3899.5,3076.5,4775.5,3281,10987,4153,5475,8490,4179,4272.5,4266.5,4131,4103.5,4051,10293,5536.5,5593.5,5986,6480.5,5666,5707,4742,5250.5,3819,3707.5,3799.5,3715,7881.5,4434.5,5096.5,4287.5,4335.5,3892.5,4587,6977.5,3897.5,5071.5,4196,4160.5,5089.5,4620,5845,3780.5,4039.5,7290.5,9374.5,13108,6328.5,6441
6.17,9747.5,3356,4027,4057,3944.5,3985.5,4637,4059,3864.5,4535.5,4707.5,4814.5,4391,4121.5,3999,3910.5,4190,4097,4228,4157.5,4147,3758,8882,11667,3817.5,3846,4335,5448,3471,3983.5,3464.5,2984,3040.5,3071,3195.5,4813,3116.5,3090,3459,3001.5,3407,5484.5,3431.5,3791,4161,3261.5,4617.5,3157.5,11618,4239.5,5346.5,9198.5,4066.5,4349,4225.5,4089.5,4061.5,4105,11160,5463,5931.5,5926.5,6173.5,6153.5,5646.5,4688,5011.5,3802.5,3890.5,3639,3625,8353.5,4403.5,4784.5,4376.5,4717,4156,4714,6936,4117.5,5332,4466.5,4191.5,5108,4413.5,5734.5,3780,3767,7701,10702.5,14351.5,6441.5,6528.5
6.33,9376.25,3368,3897,3954.5,3939.5,3994.5,4338.5,4210,3946.5,4279.5,4444.5,4687.5,4193,3979.5,3973.5,3793,3961,4171.5,4264.5,4166,4167,3771.5,10097,12238.5,3699,3963,4100.5,5259.5,3448.5,3891.5,3343.5,3008.5,3003.5,3113.5,3062.5,4434.5,3111.5,3141,3323,3033.5,3646,5455.5,3283.5,3779,3976,3165.5,4572,3078.5,11361,4151.5,5703,9261.5,3961,4479,4185,4221,4066.5,3982.5,10632.5,5434,5827.5,5995.5,6759,6073.5,6241,4950.5,5022.5,3826,3853,3582,3801.5,8502,4376,5120.5,4239.5,4584.5,4151,4755.5,6371,4159,5190.5,4256.5,4225.5,5015,4512.5,5985,3895,3840,7470.5,10324,14218.5,6597,6834
6.50,9244.25,3385,3855.5,4061,3820.5,4000.5,4314.5,4046,3966.5,4498,4440.5,4689.5,4065,4147.5,4074.5,3844.5,3771,4038.5,4163,4074,3953.5,3792,9129,12005.5,3724.5,3819,4368,5278.5,3359,4101,3371.5,3086,3126.5,3077.5,3121.5,4412,3014,3114,3450.5,3190.5,3598.5,5301.5,3371,3721.5,4115.5,3164,4936,3010,11183,4132.5,5883.5,7733.5,4005,4262.5,4336.5,4168,4116.5,3973.5,10320,6022,5991.5,6246,6907.5,6396.5,5993,4766,4905,3865,3763.5,3614,3720,8715,4540,4820,4474.5,4799.5,4018.5,4651,6754,3982,5387,4263,4073,4685.5,4405.5,5902.5,3956,3749.5,8089.5,11172.5,14378.5,6477,7271.5
6.67,9183.25,3340,3730.5,4062.5,3919,3910.5,4157.5,3958,3959,4320.5,4190.5,4888.5,4226.5,4045.5,4035,3877,3751.5,4002.5,4061,3949,3937,3668.5,9774,12691,3720.5,3874.5,4325.5,5142,3419.5,3964,3463.5,3022.5,3147,3001.5,3039.5,4840.5,3063.5,3004,3215,3164,3502.5,5345.5,3501.5,3741,4119.5,3047,4727,3079,11100.5,4283.5,5610.5,7786,3951.5,4263,4450.5,4070,4090.5,3822.5,10522,5795,6135.5,6336.5,6755.5,6104,6143,4389.5,5046,3773,3918.5,3533,3792,8474.5,4815,5111.5,4320,4728.5,4075,4498,5734.5,4066,5499,4252.5,4185,4929.5,4662.5,5935,3904.5,3739.5,8057.5,12212.5,14533.5,6527,7079
6.83,9453.25,3398.75,3777.5,4041,3878.5,4001.5,3915.5,3989.5,3841,4451,4117.5,4391.5,3973,3852,3873,3978.5,3759,3931.5,4263.5,3991.5,3900,3714,10710,13098,3690,3878,4654.5,5416,3352,3949,3519,3010,2993.5,3019,3057,4543.5,3162,3028,3431.5,3034,3503,5395.5,3450,3918,4181.5,3123,4808.5,3051,10334,4165.5,5639,8037.5,4026.5,4495,4269,4050.5,4112,4071.5,10417.5,5855,6074,6847.5,7075.5,6571.5,6568.5,4650.5,4912,3812.5,3821.5,3535.5,3818,9288,4603.5,4731.5,4692.5,4799.5,4009.5,4675,5719.5,4110,5223.5,4340,4190,4947.5,4571,5984,3736.5,3782.5,9150.5,12512,14549.5,7156,7180.5
7.00,8621.5,3277.25,3731,3911.5,3877.5,3845,4138.5,3985.5,3920.5,4095.5,4346,4355.5,4009,3847.5,3893.5,3855,3745,3889.5,3954,4011.5,4012.5,3605.5,10156.5,13242.5,3613,3950.5,4656,5453,3330,3873,3355,3054,2988,3042.5,2914,4995.5,3102.5,3106,3193.5,3142.5,3662.5,5395,3409,3805.5,4292,3239,4981,3122.5,11212.5,4203,5646.5,8378,4022.5,4241,4224,4057,4052,4054,10062,5870,6542,6884,7070.5,6411,6380.5,4415.5,5067.5,3829,3811.5,3604.5,3737.5,9223.5,4526,5013.5,4457.5,4577,4267.5,4671,5945.5,4194,5247,4474,4355,4942.5,4782.5,6066,4048.5,3989,9227,12714,15075.5,7001,7538
7.17,9040,3331.75,3870,3865,3898.5,3863,4226.5,4166,3761,4171.5,3986,4425.5,3853.5,4153,3761,3842,3782.5,3922,4248,3869,3961.5,3710.5,10225,13734,3704,3829,4667.5,5804,3460,4099,3416.5,3037.5,2969.5,3092.5,3104,4907.5,3058,2966.5,3181.5,2994.5,3410,5300.5,3436.5,3909,4416.5,3053.5,4645,3137.5,10598.5,4241,6086.5,7682,4037,4128.5,4316.5,3991.5,4227,3939.5,10305,6057,6587.5,7075,6991.5,6516,6678.5,4454,5070.5,3799,3792,3608.5,3865.5,9658.5,4575.5,4984,4357.5,4706,4114,4635,5629.5,4070,5501,4199,4171.5,4536,4483,6247.5,3853.5,3838,9644.5,13494,15248,7600.5,7984
7.33,8547.25,3307,3690,3894,3950.5,4023,4101.5,3822.5,3822.5,4001.5,4165,4565,3907.5,4021,3942,3875,3759,3940.5,3966.5,3968.5,3937,3737,11182,13944.5,3695.5,3893,4846.5,5507,3648,3841.5,3406.5,3056.5,3084.5,3042.5,3017.5,5262,3011,3051,3279,3058.5,3587,5354,3314.5,3792,4484.5,3063,4991.5,3125,10572.5,4288.5,5879.5,7879,4024,4216.5,4436.5,4144.5,4004,4055.5,10401.5,6185,6458.5,7318,7230.5,7039.5,6806,4472,5107.5,3863.5,3641.5,3577.5,3648,9492,4677.5,5199.5,4636,4592,3925,4989.5,5630,4124,5476.5,4290,4323,4650,4658,6521,3874.5,3709,10004.5,13396.5,14906.5,8001,8250.5
7.50,8244.5,3339.75,3688,3802,3815.5,3808,3889.5,3877.5,3881.5,4011,3929,4423.5,4152.5,3903,4128,3802.5,3829.5,3967.5,3875.5,3908.5,3984,3638.5,11330,15044.5,3776.5,3785.5,4804,5875.5,3492.5,4029.5,3454.5,3137,3032,3024,3257.5,5138.5,3044,2954,3360,3046.5,3763,5311,3271.5,3773.5,4758,3147,4691,3155.5,10346,4180.5,6424,7474.5,3976.5,4165.5,4276.5,4132,4130.5,3896.5,10126,6161.5,6793,7505,7152,7315.5,6537,4337.5,4954,3713,3778.5,3624.5,3729.5,9728.5,4838,4763,4306,4892.5,4049,4901,5451,4047,5714,4429.5,4319.5,4508,4721,6524,4032.5,3758.5,10949,14093.5,15409,7900.5,7950
7.67,8318,3249.5,3765,3732,3797.5,3873,4096,3869.5,3902.5,3980.5,3944,4498.5,3777,3784,3858.5,3803,3773,3832,3826.5,3829.5,3936.5,3610.5,11812.5,15485,3638,3542.5,4948,5974,3611,4113.5,3267,3065,2964.5,3057,3051.5,5181.5,3110.5,3024,3336.5,3060.5,3445.5,5739.5,3420.5,4061.5,4997,3165.5,4772,3273,10080.5,4349.5,5980,6886,4036,4148,4520,4132,3963.5,4079,9852.5,6109.5,7264,8022.5,7340.5,7107.5,6831.5,4448,4999.5,3882.5,3961,3510.5,3730.5,10285.5,4843,5046,4490,4761.5,4024.5,4677.5,5241.5,4135.5,6175.5,4473.5,4290,4407,5043.5,6438,3960,3967.5,11299,13871,16197,8304,8426
7.83,8130,3281,3642,3816.5,3726.5,3784,4101.5,3906.5,3876.5,3975.5,3964,4397,3948.5,3877.5,3826,3950.5,3788.5,4003,4011,3892,3874,3625,11749.5,16690.5,3686,3767.5,4880.5,6619.5,3309.5,4026.5,3520.5,3086.5,2977.5,3070.5,2970,5328,3078,3021.5,3316,2983,3633.5,5545,3515,3675,4729,3110,4801,3108.5,10120.5,4211,5853,6761.5,3944,4063,4385.5,4128.5,4005.5,4050,9636,6405.5,7570.5,8546,7431.5,6782.5,7030.5,4411.5,4803,3809,3751,3579.5,3552.5,10973,4932.5,5275,4530.5,4804,4040,4712.5,5281,4270.5,5843.5,4314,4507,4452.5,4690.5,6335.5,3959,3841.5,10989,15123,15786.5,7824.5,8306
8.00,7623.75,3225.5,3747.5,3735,3844.5,3800,4131,3779,3841,3865.5,4142,4137.5,3900.5,3840,3967,3904.5,3827.5,3725,3795,3796,3934.5,3597.5,12713,16503.5,3560.5,3715,5261.5,6322,3538.5,3953,3537,3046.5,2973.5,3149.5,3067,5176.5,3037.5,3067,3372.5,2995,3648.5,5768,3363.5,4207.5,4904.5,3040.5,4493,3184,10393.5,4050,6068.5,6842,4239.5,4061,4234.5,4021.5,4271,4028.5,10125.5,6195,7930,8623,7329.5,7229.5,7028,4784,5074,3739,3828,3760,3814.5,11285,4682,5234.5,4533.5,4947,3997.5,4971,5457,4279.5,5823,4183,4249.5,4346.5,5053,6639.5,3877.5,3970,12274.5,14784,16632,8642,8937.5
8.17,8029,3314,3595.5,3725.5,3697.5,3741,4016.5,3902,3719,3972.5,3968.5,4297,3769.5,3718,3734,3784,3698.5,3794.5,3804,3974,3967.5,3643.5,12494.5,16934.5,3621,3485,5171,6800,3348,3954,3499,3095.5,2898.5,2963,3123.5,5504.5,3050.5,2963,3323.5,2988,3513.5,5555,3263,4197,5606,3103,4689.5,3114.5,9890,4227,6166.5,6616.5,4043,4025.5,4330.5,4252,4040.5,4001,10651,6415.5,8079,9209.5,7947,7126.5,6961,4487,4946,3760,3912.5,3538.5,3914,11568.5,4895.5,5484,4354.5,5025.5,3997,4890,4866,4450,5764,4469.5,4269.5,4345.5,5073,6452,3812,3847.5,12921,15264,17411,9198.5,9188
8.33,7851.5,3205.75,3662,3649,3686,3836.5,4017,3812.5,3850.5,3829,4014.5,4062.5,3894.5,3762.5,3749.5,3932.5,3631,3813,3759.5,3874.5,3826,3558,12601,17931.5,3544,3749,5202,6828.5,3409,3707,3550.5,2991.5,3033.5,2983.5,3064,5522.5,2960,2945,3185,3086,3477.5,5973,3293.5,3927,5430,3091.5,4709,3213,10456.5,4243,6208.5,6145,3919,4086,4343,4230,4146.5,3874.5,10142,6371,8317.5,9397.5,7865,7205.5,7816.5,4587,4721.5,3725.5,3805.5,3531.5,3964,11613,4692,5131,4387,4848,4061.5,5143.5,4964,4197.5,6070,4537,4484,4134,5327,6768,4007,3847.5,12780.5,16129,17280.5,9619.5,9572
8.50,7772.5,3227.25,3661,3693.5,3787.5,3830.5,3852,3855.5,3935.5,3885.5,3955.5,4298,3905.5,3926,3839.5,3683.5,3625.5,3845,3958,4057,3967.5,3569,12853.5,19430.5,3616.5,3856,5555.5,6262.5,3545,4127.5,3378.5,3001,3065.5,3002,3051,5957,2976,3080.5,3464,2942,3518.5,5670.5,3400,4095.5,5752.5,2980.5,4837.5,3235.5,10013.5,4086.5,6060.5,6225.5,4130.5,4023.5,4335.5,4402,4117.5,4040,10250.5,6651,8246,9249.5,7909.5,8031,7936,4552.5,5008,3688,3757.5,3611.5,3850.5,12293.5,4835,5337.5,4483.5,4900.5,4220.5,5062,4880,4189.5,6048.5,4377,4393,4241,5422.5,6596.5,3821,3763,14523.5,16222,17379,9506,9966
8.67,7337.25,3236.5,3573,3761.5,3698.5,3764.5,3894.5,3721,3817.5,4002.5,3837,4209,3731,3679,3776,3835.5,3645.5,3801,3744,3853,3800.5,3603.5,13133.5,19381.5,3619,3881.5,4841,7485.5,3596.5,3939,3391.5,2970.5,2916.5,3069.5,3012,5445.5,3020.5,2988.5,3235.5,3026,3612,5557.5,3265,3841,5690,2955,4767,3175,9722.5,4117,6147.5,5976,4096.5,4169,4369,4414,4302,4032.5,10228,6710,8846,10012,7813.5,7500,7721,4565,4834,3787.5,3856.5,3504,3845,11997,5096,5324,4674.5,4874,4148,5093.5,4971.5,4176,6070,4308,4417,4314,5040,6820,4090,3819.5,14467,16803,18227,9676.5,9823.5
8.83,7017,3263,3599.5,3769,3717.5,3866,3971.5,3796,3794,3817.5,3949,4200,3824.5,3723,3658.5,3831.5,3627,3874,3883.5,3801.5,3769.5,3548.5,13202.5,20706,3636,3476,5331.5,7359,3561.5,3966,3365.5,2966.5,2927.5,2965,3057,5720.5,3109.5,2979,3394.5,3043.5,3575.5,5890,3405,4127.5,5503,3008.5,4999,3129.5,9434.5,4186.5,6051.5,5985.5,3934.5,4001.5,4549,4384,3990.5,4057.5,10356,6914,8451,10484,7878.5,7812,7839.5,4241,4786.5,3724.5,3855.5,3773,3823,12295,5039,5621,4939.5,4813.5,4011.5,4836,4761.5,4406.5,6300,4363,4348.5,4068.5,5408,6713,3974,3863,14634,16064,18453,10152.5,10008.5
9.00,7214.25,3333.25,3679,3791,3675,3726.5,3866.5,3640,4285.5,3916,3823.5,4074,3792,3998,3737.5,3868.5,3687,3819,3745,3842,3853,3676,13771.5,21071.5,3569.5,3718.5,5159.5,7963.5,3724.5,3985.5,3254,2921,2844.5,3096,3089,6282,2978.5,2858,3200.5,3115.5,3642,5415,3319,4044.5,5890.5,3045.5,4750,3306,9519,4124,6255,6140,3970,4129,4533,4463.5,4200,4021,9501,6996,9369.5,10975,8676.5,8154.5,7905,4528,4903,3666,3905.5,3606,3995.5,12707,4855.5,5682.5,4753.5,5009,4324,4737.5,4441,4305.5,6422,4544,4494.5,4245.5,5641.5,7096.5,3880,3695.5,16151,16921,19004,10326,10753.5
9.17,6759.5,3320.75,3634,3937.5,3540,3853,3804.5,3694,3823,3689,3972.5,4079,3837,3766.5,3798.5,3760,3574,3925,3739.5,3772.5,3777,3542,14109.5,21892.5,3593.5,3617.5,5299.5,7997.5,3711.5,4250.5,3519,3025.5,2937,2911.5,2988,6019.5,3023.5,2870,3346,3002.5,3658,5539.5,3154,4121,5902,3069,4781.5,3132.5,9921,4418,6363.5,5419,3979,3969,4744,4482,4260,4119.5,9862,7132,9403,11395,8349.5,8069,7980.5,4475,4953.5,3805.5,3922,3544.5,3972.5,13391.5,5088,5669,4557.5,4934.5,3953,4890,4768,4171.5,6453,4349.5,4557.5,4133.5,5802.5,7397.5,3684,3674.5,16125.5,17458.5,19336.5,11437,11172.5
9.33,6678.75,3311.25,3592,3849,3643,4010,3875,3791.5,3890.5,3813,3826.5,4012,3747.5,3744,3720,3736,3770,3813.5,3845,3724,3713.5,3664.5,14497,22452,3453.5,3668.5,5184.5,8447,3562.5,4146,3318.5,2974.5,2920.5,2958,2985.5,6378.5,2994,2851.5,3510,2928,3596.5,5546.5,3358,3952.5,6020,3144,5050,3287.5,9197.5,4253.5,6242.5,6264,4138,4400,4613.5,4510,4389,4100.5,10039.5,7418,9995.5,11207,8368,8217,8037.5,4564.5,4992,3568.5,3827.5,3538.5,4057,13171,5185.5,6089.5,4800,4944.5,4416,5269,4962.5,4153.5,6733,4374.5,4467,4143,5409.5,7407,3974.5,3798,16646,17429,19545.5,11242.5,11484
9.50,6516.25,3269.25,3534.5,3747.5,3673,3767.5,3992.5,3709,3772.5,3871.5,3862.5,3986,3691.5,3680,3700.5,3821.5,3599.5,3784,3845.5,3810.5,3838,3523,14486,23002,3548.5,3592.5,5346,9202.5,3603,4009.5,3705.5,2919.5,2990.5,2980.5,3074.5,6378.5,2958.5,2931.5,3499,3057,3764.5,5590,3333.5,4131,6111.5,3016.5,4942.5,3155,9136.5,4206.5,6435,5854,4017,4160,4892.5,4549,4359,3934,10183.5,7382,10456,12094,9311,7748.5,8355.5,4434,4866,3717.5,3725,3639,3892,14099,5491.5,6702.5,4518.5,4845.5,4142.5,4964,4577,4570.5,6177.5,4514,4480.5,4113,5448.5,7411.5,3804,3887,17285.5,17397.5,20541.5,11400,11533
9.67,6338.75,3420,3530.5,3742,3645.5,3911,3910,3656.5,3899.5,3859.5,3768,3880.5,3654,3608,3682,3743.5,3687.5,3848,3807.5,3708.5,3974,3753.5,14969,23348.5,3592.5,3313,5280.5,9192.5,3442.5,3933.5,3258,2903,2919,3050,3086.5,6583.5,2943,2887.5,3493.5,2984.5,3561.5,5429,3386,4278.5,6310,3121,4995,3254.5,9181,4126,6247.5,5495,4108.5,4385,5098.5,4744.5,4385,4150,10595.5,7564,10542.5,12318.5,8566.5,8165,8618,4464,4704,3623,3895,3739.5,3981,14454.5,5133,6301,4570,5125,4174,5292.5,4904,4469.5,6610,4419.5,4488.5,4184,5657.5,7602.5,3830.5,3689,17915.5,17772,21545,12094.5,12215
9.83,6409.75,3501.75,3591.5,3815,3725.5,3791.5,3822.5,3758,3757,3728.5,3767.5,4128.5,3633.5,3672,3738,3651,3572.5,3808.5,3829.5,3770.5,3684,3561.5,14187.5,24088,3572.5,3532,5648.5,9596,3492,3818.5,3324,2909,2856,2958,3132.5,6107.5,2923.5,2835.5,3570,2949.5,3555.5,5630,3343,3973,6546,3206.5,4960.5,3135.5,9037.5,4094,6639.5,5838.5,4072,4436,4939,4699,4359,3986.5,9922,7826,11580,12582.5,8771.5,8335,8394,4509,4745.5,3609,4013,3525.5,4071.5,14834,5047,6300,4952.5,4905,4192.5,5428.5,4816.5,4251.5,6262,4514.5,4449,4021.5,5835,7970.5,3970,3851,18890,18344.5,21290,12315,13515.5
10.00,6140.5,3350,3592.5,3625,3665.5,3806.5,3801,3818,3724.5,3697.5,3843,4065.5,3812,3700,3620.5,3707,3578,3843.5,3742,3811,3850.5,3530.5,14858.5,25811.5,3526,3400,5709.5,10032,3511,3983,3282,3097,2921,2921,3011,6889,2891,2900,3515.5,3029,3568,5752.5,3422,4021,6436.5,3097.5,5157,3255,8853.5,4058.5,6689,5087,4043,4516.5,4897.5,4738,4551,4154,10221,7938,11438.5,12951.5,8960.5,8360,8434,4641,4786.5,3600.5,3920.5,3628,3973.5,15685,5409.5,6297,4608.5,4906,4203,5533.5,4566.5,4335.5,6295,4483.5,4354,3966,6074.5,8042,4002.5,3656,19196,17436.5,22481.5,13043,12065
