Hour,S.tenebrarius (C+),S.coelicolor (C-),CC101A,CC201A,CC201B,CC203A,CC203C,CC209B,CC209C,CC210B,CC213B,CC213C,CC224A,CC224D,CC224F,CC226B,CC226C,CC227B,CC227E,CC227F,CC227D,CC228B,CC227G,KL110A,KL110C,CC302R,CC303T,CC302I,CC307I ,CC307M,CC303U,KL102C,KL103A,KL104B,KL104C,KL106B,KL108A,KL108C,KL109B,KL110B,KL110D,KL111A,KL111B,KL111C,KL114A,KL115A,KL115B,KL116D,KL116E,KL118A,KL118B,KL122B,KL122C,TC101B,TC101C,TC101D,TC101E,TC101H,CR101A,MZ102A,MZ102B,MZ102C,MZ103A,MZ103B,MZ103C,HL101N,HL101P,HL101H,HL101C-67,HL101E,HL101J,CC201C,CC203B,CC208A,CC208B,CC209A,CC210A,CC211A,CC213A,CC213D,CC216A,CC216B,CC216C,CC219A,CC219B,CC219C,CC223A,CC224B,CC224C,CC224E,CC226D,CC227C,CC228A
1.67,7777.25,3784,3919.5,5593.5,4288.5,5983,6181,6036,6540.5,5673.5,6443,5081.5,5512.5,4525.5,4028.5,3892,5106,4547,5203,5789,6310.5,3623.5,6214,8547,4718.5,4295.5,4017,11270.5,3825.5,4101,4072,3525.5,3433.5,4004.5,3540.5,4706.5,3744,3364,3764.5,3513,3942.5,4409.5,4293.5,3908.5,4192.5,3567,3980.5,4007.5,18995,6095,5642,6442,5306.5,6551.5,5868,5051,4914.5,4526,14179.5,5646.5,4781,4764.5,5832,5407,5025.5,5123.5,5186.5,3923.5,4278,4133,4433.5,5548.5,4072.5,6070.5,4017,4792.5,4758,4115,6537,4634.5,4820.5,4323.5,4304,4972.5,3960,6749,3976,4000.5,7384.5,4580,12737,7554,7439
1.83,7700,3938.75,3971.5,5816.5,4454,5754.5,5604.5,5974.5,6255.5,5951,6287.5,5470.5,5425.5,4869,3719.5,3748.5,5157,4505.5,5207.5,5991,5928.5,3423,6216.5,8301.5,4657,3940,4520.5,11363.5,3796,4434.5,3738.5,3406,3485,4067,3592,4859,3675.5,3507,3860.5,3486,3972,4282.5,4211.5,3863.5,4129,3753.5,3733,3702.5,17974,5788,5345,7162,5061.5,6137.5,5765,4907.5,4893,4551.5,13916.5,5250.5,4571.5,4540.5,5760.5,5193,4744,4916,5131.5,3841,4329,4029.5,4146.5,5552,4038.5,6275.5,3931,4697,4722.5,3968.5,7615.5,4390,4876,4123.5,4268,5219,4145.5,6684.5,4120.5,4053.5,7199.5,4826,12117.5,7235.5,7010
2.00,7435.5,4061,3972,5411,4329,5691.5,5669.5,5676.5,6544,5747.5,5898,5675.5,5472.5,4647.5,3643,3722.5,5090.5,4388.5,5467.5,6061,6352.5,3412.5,6323.5,8290.5,4526.5,3789.5,4737,11345.5,3847.5,4336,3725.5,3456,3491,3650.5,3552.5,4628,3706,3275.5,3801.5,3531,3666,4637.5,3863.5,3865,4567,3804,3896,3466,16024,5231,5116.5,7328,5116,6354,5677.5,4778.5,4716,4590.5,13814,5060.5,4515.5,4421.5,5720.5,5212.5,5077,4861.5,4887.5,3823,4254,4159,4312.5,5404.5,4035,6304.5,4150.5,4807,4813,4110,8433.5,4352,4670,4261,4521.5,5318.5,4062,6298,4138,3857.5,6779,4796.5,12994,6824,6719
2.17,7576,3905.75,4118.5,5708,4687.5,5961.5,5886.5,5775,6372.5,5275,6148,5689,5423.5,4515.5,3742,3568.5,5112,4505,4967,6237.5,5449,3597.5,6077.5,8731.5,4403.5,3789.5,4906,10491,3753,3974,3966.5,3280.5,3374.5,3791,3492.5,4730.5,3777.5,3380.5,3593.5,3402,3734.5,4339,3837,3774.5,4185.5,3596,4004,3604.5,15751,5220,4974.5,7912,5046,5796,5783.5,4884.5,4560.5,4611.5,13094.5,5350,4398.5,4559.5,5240.5,5132,5077.5,4725.5,4769,3913.5,4287.5,4161,4111,5492.5,4163.5,6151,4112,4895.5,4510,3793,9151.5,4389.5,4911,4248.5,4336,5522,4121.5,6270,3957,3888,6391,5021.5,12590,6747,6364.5
2.33,7517,4015.75,3817,5357.5,4378,5876,5391,5593.5,6289,5737,5656,5719,5556,4818,3764,3711.5,4952,4531.5,4893,5832.5,5690.5,3595,6619.5,8376.5,4306,3812,4733,10990.5,3538.5,4291.5,3727,3295.5,3522,3482.5,3406,4827.5,3589.5,3395,3591.5,3269,3787,4616.5,3820,3644.5,4324.5,3590.5,3916,3492.5,14894,5084.5,4932.5,7449.5,4549,5565.5,5219,4691.5,4705.5,4293,12940.5,5015,4642.5,4511.5,5554,5253,4926,4855.5,5019.5,3756,4107.5,4013.5,4034,5659.5,4116.5,6061.5,4018.5,5018,4578,4071,10294,4273,4569.5,4159.5,4445,5567,4276,5743.5,3968,3869.5,6285.5,5164.5,12378,6447,6343.5
2.50,7884,3970.75,3742.5,5395.5,4320,5586.5,5530,5594,6396,5700.5,5726.5,5852,5595.5,4580,3643.5,3549.5,4989.5,4499.5,4980,5471.5,5642,3547,6636.5,8386.5,4452.5,3751.5,4455.5,10430,3701.5,4034,3597,3342,3341.5,3315.5,3343.5,4707.5,3669.5,3281,3526.5,3454,3835,4567.5,3700.5,3923,4257.5,3485,4079.5,3487,13764,5001,5056.5,8650,4694.5,5561.5,5617,4579,4600,4503,13149.5,4979.5,4631.5,4496,5645.5,4995.5,4873,4760.5,5005.5,3839.5,4173.5,4033,4173,5528.5,4099,6271.5,4037.5,4990,4498,4120.5,10443.5,4550,4919.5,4378,4525,5729,4200,6051.5,4134,3935,6205.5,4960,12285,6259,5877.5
2.67,8105.5,3893,3792.5,5254.5,4446.5,5511,5133.5,5373,6256.5,5377,5506,5431,5204,4423.5,3635.5,3716.5,4929.5,4558.5,5028,5639.5,5858.5,3503.5,6615,7721.5,4280,3895.5,4859,10782.5,3595,4177,3687.5,3212.5,3311,3253.5,3399,4620,3560,3299.5,3628,3301.5,3792.5,4665,3669.5,3841.5,4153,3434.5,4052,3478.5,13642,4648,4865,8478,4505.5,5214.5,5306.5,4589,4487.5,4431.5,12733.5,5005.5,4749.5,4487.5,5632.5,5092.5,5064.5,4773,4804.5,3848,4192,4014,3967.5,5941.5,4037,6087.5,4071,4684,4455,3965.5,10635,4593,4871.5,4314,4198.5,5638.5,4154,5715,3891.5,3854.5,6165,5252,12081.5,5996.5,5950.5
2.83,8060,3944.25,3725.5,5152.5,4229.5,5411.5,5106.5,5465.5,5744,5356.5,5896,5951.5,5672,4644,3531,3696.5,4703,4567,4853.5,5674.5,5476,3528,6909,7764,4413,4099.5,4654,9986.5,3435.5,4230,3602,3308.5,3295.5,3458.5,3457,4507,3636,3289,3555,3248.5,3678,4491,3604.5,4008.5,4322.5,3497.5,3958.5,3307.5,14454,4997.5,4747.5,9238.5,4321.5,5264.5,5314.5,4582.5,4538,4357.5,12961,4956.5,4497,4585.5,5417,5222,5037,4647,4776.5,3893.5,4171.5,3941.5,3980.5,5362,4240,6098,4101.5,4818,4353,4597,10440,4278,5243.5,4528,4509.5,5370,4245,5469.5,3993.5,3870.5,5594.5,5418,12703,5773.5,5799
3.00,7854.75,3970.75,3788.5,4954.5,4498.5,5184.5,5140.5,5327.5,5856,5423.5,5640,5772.5,5127.5,4453,3631,3836.5,4732,4439,4920.5,5408,5052.5,3428.5,6572.5,7752,4008.5,4042,4629.5,10270.5,3423,4166.5,3589.5,3112.5,3281.5,3389,3288,4536,3316.5,3283,3535,3301.5,3901,5051.5,3751,3867,4333,3481.5,4011.5,3348,13616,4689,4830,8918.5,4253,5227.5,5473.5,4565.5,4448.5,4387,12684.5,4961,4682.5,4623.5,5611.5,5263.5,4863,4717,4760.5,4026.5,4041.5,3889.5,3933,5639.5,3963,6185,3985.5,5108,4611,4178.5,10756,4355.5,5047,4477.5,4367.5,5484,4106.5,5584,4171,3947,5713,5376.5,11613.5,5959,5644.5
3.17,8030.5,3954.5,3776,5115,4332,4801,4929,4778.5,5334.5,5621,5741,5702,5186,4573.5,3567,3660,4530,4521.5,5214.5,5466,5404,3518,6930.5,7839,4202.5,3914.5,4857,8991,3713,4179,3604.5,3197,3382,3174.5,3346.5,4395,3212,3240.5,3586.5,3395.5,3615,4844,3575,3599.5,4141,3227.5,4008.5,3447.5,13041,4617,4792.5,10228.5,4444.5,5152,5297.5,4405.5,4396.5,4331,12944.5,4945,4612,4732,5423.5,5374,5013.5,4708,4955.5,3916.5,4120.5,3793.5,3849.5,5702.5,4158.5,6299,4132.5,4552,4363.5,3991.5,10452,4397.5,5239.5,4236,4465,5638,4334,5547,3888,4035.5,5782.5,5577.5,11763.5,5528,5609.5
