#,Product_titer_(UFC/ml),Recovery_Yield_(%),Optimal_concentration_of_agent_(UFC/ml),Final_batch_duration_(days),Material_Discount,TOTAL_Production_cost_per_dosis
88,10955592356,0.77,1000000,2.541666667,0.00,0.134754735
89,14237356386,0.86,1000000,2.541666667,0.09,0.089221475
90,13528573964,0.81,1000000,2.541666667,0.08,0.100589104
91,12221718113,0.86,1000000,2.541666667,0.08,0.103825712
92,13529026921,0.73,1000000,2.541666667,0.11,0.109235381
93,12260442231,0.73,1000000,2.541666667,0.03,0.125686157
94,12713354614,0.83,1000000,2.541666667,0.10,0.102645442
95,12657953737,0.79,1000000,2.541666667,0.04,0.11284824
96,10307845441,0.82,1000000,2.541666667,0.04,0.132180985
97,12059602869,0.82,1000000,2.541666667,0.08,0.111442674
98,12565947734,0.77,1000000,2.541666667,0.10,0.112418957
99,9588613995,0.84,1000000,2.541666667,0.08,0.136780433
100,9377040457,0.84,1000000,2.541666667,0.08,0.138701242
101,9773142023,0.85,1000000,2.541666667,0.09,0.130781372
102,13353194386,0.77,1000000,2.541666667,0.09,0.105365075
103,12548300604,0.80,1000000,2.541666667,0.07,0.109690986
104,12400352702,0.90,1000000,2.541666667,0.05,0.100748518
105,12299327226,0.83,1000000,2.541666667,0.10,0.105844687
106,12225104862,0.87,1000000,2.541666667,0.09,0.102068308
107,10369439328,0.83,1000000,2.541666667,0.03,0.130522007
108,13992605681,0.83,1000000,2.541666667,0.06,0.09508361
109,13444280511,0.92,1000000,2.541666667,0.08,0.088960158
110,12534127805,0.79,1000000,2.541666667,0.11,0.108841496
111,14761219891,0.75,1000000,2.541666667,0.09,0.098711616
112,11007403717,0.91,1000000,2.541666667,0.09,0.108928871
113,11025403283,0.80,1000000,2.541666667,0.07,0.125445698
114,12281455928,0.90,1000000,2.541666667,0.10,0.098651705
115,14290906178,0.85,1000000,2.541666667,0.13,0.087884877
116,14154652919,0.83,1000000,2.541666667,0.04,0.095737895
117,14282175626,0.76,1000000,2.541666667,0.09,0.100050823
118,11071100612,0.84,1000000,2.541666667,0.10,0.1159933
119,12269319500,0.76,1000000,2.541666667,0.09,0.116630214
120,12356562457,0.82,1000000,2.541666667,0.09,0.107931469
121,10566912125,0.75,1000000,2.541666667,0.09,0.138543544
122,10757070693,0.83,1000000,2.541666667,0.10,0.122237427
123,12036658968,0.78,1000000,2.541666667,0.09,0.115777769
124,9945897254,0.73,1000000,2.541666667,0.11,0.147781214
125,12963413088,0.81,1000000,2.541666667,0.10,0.103051357
126,12661629465,0.78,1000000,2.541666667,0.10,0.110029829
127,9748095641,0.82,1000000,2.541666667,0.13,0.133692434
128,12468386328,0.80,1000000,2.541666667,0.10,0.108722227
129,10830193686,0.81,1000000,2.541666667,0.08,0.125739215
130,12230536452,0.87,1000000,2.541666667,0.09,0.10306692
131,12160519597,0.78,1000000,2.541666667,0.10,0.114759737
132,14004358980,0.90,1000000,2.541666667,0.10,0.086479009
133,12728355117,0.76,1000000,2.541666667,0.10,0.112576702
134,9102029382,0.82,1000000,2.541666667,0.08,0.147366599
135,12510985675,0.91,1000000,2.541666667,0.09,0.095637576
136,14005744362,0.81,1000000,2.541666667,0.07,0.097430921
137,12102234472,0.83,1000000,2.541666667,0.08,0.109024563
138,10431450659,0.88,1000000,2.541666667,0.06,0.121076562
139,12083879889,0.86,1000000,2.541666667,0.08,0.105256061
140,12428778718,0.82,1000000,2.541666667,0.11,0.105524296
141,12041681062,0.89,1000000,2.541666667,0.10,0.1019644
142,11233385483,0.81,1000000,2.541666667,0.10,0.119059522
143,10568224488,0.80,1000000,2.541666667,0.10,0.128588917
144,12478069977,0.84,1000000,2.541666667,0.10,0.104245641
145,12300759285,0.86,1000000,2.541666667,0.10,0.102910226
146,14255345582,0.84,1000000,2.541666667,0.08,0.091950939
147,12237998871,0.88,1000000,2.541666667,0.06,0.102885726
148,11009754391,0.77,1000000,2.541666667,0.10,0.127833736
149,12807374777,0.92,1000000,2.541666667,0.09,0.092784654
150,10734368367,0.76,1000000,2.541666667,0.09,0.133597222
151,9769393327,0.89,1000000,2.541666667,0.08,0.126182693
152,13751718060,0.84,1000000,2.541666667,0.05,0.096012016
153,9226368138,0.86,1000000,2.541666667,0.07,0.139675812
154,11184790462,0.79,1000000,2.541666667,0.10,0.122201884
155,14118871142,0.80,1000000,2.541666667,0.09,0.096039456
156,12656643544,0.84,1000000,2.541666667,0.09,0.102650951
157,13585837317,0.85,1000000,2.541666667,0.09,0.094675381
158,12091556615,0.93,1000000,2.541666667,0.09,0.096731515
159,13510001076,0.75,1000000,2.541666667,0.09,0.107626275
160,11061565203,0.85,1000000,2.541666667,0.10,0.115762559
161,14145418897,0.93,1000000,2.541666667,0.07,0.084288246
162,12014018689,0.84,1000000,2.541666667,0.09,0.107671698
163,12665373789,0.77,1000000,2.541666667,0.04,0.115226958
