#,Product_titer_(UFC/ml),Recovery_Yield_(%),Optimal_concentration_of_agent_(UFC/ml),Final_batch_duration_(days),Material_Discount,TOTAL_Production_cost_per_dosis
193,928133914.6,0.796032049,1000000,3.25,0.056851213,1.256598535
194,919483549.5,0.863277535,1000000,3.25,0.098290614,1.155210649
195,924831388.4,0.851325638,1000000,3.25,0.100520327,1.163873603
196,924238237.1,0.821979775,1000000,3.25,0.107873732,1.203528316
197,924547753,0.850619998,1000000,3.25,0.087188752,1.169874074
198,924036127.3,0.839657873,1000000,3.25,0.129443339,1.170775891
199,930461137.1,0.940687314,1000000,3.25,0.099840185,1.047151462
200,924279753,0.775436107,1000000,3.25,0.091551135,1.281994044
201,927349738.1,0.874743489,1000000,3.25,0.091286443,1.132780371
202,918535501,0.813857263,1000000,3.25,0.063743019,1.239375929
203,921704184.3,0.730938243,1000000,3.25,0.095863615,1.362073074
204,926287556.9,0.780334984,1000000,3.25,0.037064165,1.291984913
205,915477805.1,0.831749029,1000000,3.25,0.071249359,1.214045994
206,925484523.6,0.797055911,1000000,3.25,0.046736517,1.262360597
207,916972813.2,0.760259126,1000000,3.25,0.070338332,1.326402232
208,923868713.9,0.86400384,1000000,3.25,0.004882285,1.1810509
209,932227429.2,0.706093788,1000000,3.25,0.125885499,1.38149696
210,923064473.2,0.845799677,1000000,3.25,0.112048082,1.169645794
211,924363063.6,0.941748031,1000000,3.25,0.084967981,1.05758654
212,921166587.1,0.797685856,1000000,3.25,0.093685196,1.249645923
213,926586491.8,0.769067443,1000000,3.25,0.142363154,1.269716884
214,935223215,0.847505714,1000000,3.25,0.062334738,1.169422504
215,920881610.5,0.766798321,1000000,3.25,0.080142955,1.305677343
216,924614281.9,0.807939643,1000000,3.25,0.058321466,1.242248295
217,927284309.4,0.842109587,1000000,3.25,0.06562006,1.1858312
218,923862502,0.864378495,1000000,3.25,0.049456875,1.165144676
219,921139223,0.832095011,1000000,3.25,0.088519093,1.199865438
220,925560466.9,0.803847007,1000000,3.25,0.00961952,1.265359004
221,924749607.6,0.822357461,1000000,3.25,0.089472176,1.208987289
222,920060197.1,0.822764298,1000000,3.25,0.062296456,1.224454436
223,926418152.8,0.889003747,1000000,3.25,0.091202213,1.115758809
224,916977540.5,0.841670217,1000000,3.25,0.082369816,1.193797385
225,926171679.2,0.838040751,1000000,3.25,0.060154682,1.194963097
226,921471004.7,0.842201669,1000000,3.25,0.033651686,1.204548416
227,923233953.5,0.881226636,1000000,3.25,0.133381455,1.115182269
228,935774170.1,0.785949403,1000000,3.25,0.095990811,1.247643186
229,921169824.1,0.796401325,1000000,3.25,0.124189255,1.240183653
230,918167845.7,0.84020713,1000000,3.25,0.086171846,1.192965943
231,931345797.9,0.881155809,1000000,3.25,0.06714146,1.127830381
232,924348892.1,0.889875999,1000000,3.25,0.051169739,1.130589805
233,924516062.3,0.864812773,1000000,3.25,0.01782001,1.174654879
234,924211172.6,0.8904043,1000000,3.25,0.048360954,1.131029189
235,920954040.4,0.80701662,1000000,3.25,0.044138159,1.253877763
236,934694800.7,0.865007815,1000000,3.25,0.084856997,1.138722251
237,927083679.3,0.824151345,1000000,3.25,0.128856117,1.189095243
238,925766797.2,0.899679652,1000000,3.25,0.09787165,1.10108498
239,919422097.2,0.827923326,1000000,3.25,0.094904225,1.205848834
240,927054257.5,0.773579262,1000000,3.25,0.084200105,1.284053703
241,921413515.4,0.829925285,1000000,3.25,0.080617736,1.205495329
242,924360701.2,0.841206037,1000000,3.25,0.095046817,1.180416992
243,922845313.7,0.829241251,1000000,3.25,0.129149385,1.187118452
244,928595663.7,0.802345426,1000000,3.25,0.069640055,1.241354434
245,935105265.3,0.846570906,1000000,3.25,0.067901906,1.168920961
246,935561493.8,0.832660641,1000000,3.25,0.030310421,1.201184666
247,925668040.8,0.735718403,1000000,3.25,0.073984697,1.356293365
248,921732741.2,0.834133807,1000000,3.25,0.103186295,1.19089801
249,925090717.7,0.865512187,1000000,3.25,0.067758474,1.155766366
250,923489144.7,0.82860868,1000000,3.25,0.05534293,1.213811128
251,928856703.5,0.889010875,1000000,3.25,0.070119197,1.119865722
252,931994723.8,0.8413836,1000000,3.25,0.071906163,1.178643903
253,924632781.2,0.879792098,1000000,3.25,0.09692711,1.127676166
254,935079469.1,0.843629619,1000000,3.25,0.054378758,1.177758991
255,926017934.3,0.758918348,1000000,3.25,0.070646659,1.315645653
256,919541596.2,0.873917738,1000000,3.25,0.069442092,1.150979392
257,917934292.2,0.813795498,1000000,3.25,0.091135302,1.230163452
258,923704578.9,0.891852045,1000000,3.25,0.111954448,1.108511731
259,929138319.2,0.825620863,1000000,3.25,0.114538651,1.189504037
260,924005165.6,0.835859974,1000000,3.25,0.076243192,1.19514193
261,929112042,0.840455601,1000000,3.25,0.104857365,1.171962393
262,928431277.6,0.774497937,1000000,3.25,0.089946148,1.278423415
263,923295580.7,0.763301739,1000000,3.25,0.074419883,1.310469909
264,925232017.5,0.849818929,1000000,3.25,0.087550335,1.169983937
265,934720922.7,0.90055998,1000000,3.25,0.053229767,1.1041049
266,924087532,0.848469262,1000000,3.25,0.099655695,1.16903611
267,922599637.6,0.773412532,1000000,3.25,0.066032175,1.297557384
268,918053005.2,0.841887284,1000000,3.25,0.085822305,1.190858864
269,923797141.2,0.747333973,1000000,3.25,0.116850315,1.320784347
270,924144955.1,0.841443984,1000000,3.25,0.077350593,1.18663816
271,920376812.7,0.847727374,1000000,3.25,0.107892076,1.171863684
272,931252269.6,0.908258685,1000000,3.25,0.106937813,1.08130229
273,918532972,0.802315922,1000000,3.25,0.121250762,1.235675365
274,933023457.6,0.830921873,1000000,3.25,0.097702894,1.18298608
275,931853514.2,0.838427431,1000000,3.25,0.02114838,1.200905446
276,936360120.8,0.847923903,1000000,3.25,0.090538763,1.157624465
277,922178465.4,0.863817561,1000000,3.25,0.033349495,1.173609902
278,932548691.8,0.824432575,1000000,3.25,0.04306046,1.212516168
279,922952957.2,0.76157792,1000000,3.25,0.015335095,1.337118474
280,923497257.5,0.87567562,1000000,3.25,0.084432556,1.138633715
281,921047519.5,0.844573792,1000000,3.25,0.068194191,1.18946453
282,918867763.5,0.809064948,1000000,3.25,0.088777754,1.236974165
283,935657883.8,0.838134441,1000000,3.25,0.061850927,1.182118841
284,923646425.1,0.806330683,1000000,3.25,0.084719246,1.236250997
285,929459394,0.874712342,1000000,3.25,0.130560391,1.116919875
286,929824975.4,0.716436768,1000000,3.25,0.072628403,1.387130695
287,923086551.3,0.778735426,1000000,3.25,0.06666129,1.287766928
288,930403363.6,0.864403701,1000000,3.25,0.093061295,1.141959158
289,933743592.8,0.783719783,1000000,3.25,0.004587636,1.288378759
290,922738654.4,0.811131713,1000000,3.25,0.090419176,1.228041322
291,918473093.9,0.83686693,1000000,3.25,0.048605807,1.210815312
292,933641517.8,0.867489497,1000000,3.25,0.057556054,1.146046855
293,920674721.5,0.825258566,1000000,3.25,0.069423047,1.217350642
294,925466873.9,0.875817702,1000000,3.25,0.117134808,1.124893131
295,923819720.4,0.782642505,1000000,3.25,0.095957526,1.269140573
296,925872171.9,0.846570352,1000000,3.25,0.071878779,1.179178562
297,931627792.4,0.930104083,1000000,3.25,0.09777065,1.058399311
298,920696476.8,0.821221733,1000000,3.25,0.098280374,1.21277437
299,924197675.6,0.848205525,1000000,3.25,0.069291196,1.179948528
300,921865383.7,0.783673214,1000000,3.25,0.093045712,1.271270544
