#,Product_titer_(UFC/ml),Recovery_Yield_(%),Optimal_concentration_of agent_(UFC/ml),Final_batch_duration_(days),Material_Discount,TOTAL_Production_cost_per_dosis
95,3230437026,0.765944271,1000000,3.75,0.10536094,0.386057331
96,3884701184,0.808083801,1000000,3.75,0.065925172,0.306883717
97,3186277526,0.836463263,1000000,3.75,0.098988548,0.358902232
98,3530561539,0.881442032,1000000,3.75,0.076164315,0.308886163
99,3535529386,0.829658819,1000000,3.75,0.07778227,0.327590582
100,3468141485,0.744369455,1000000,3.75,0.095807918,0.370781999
101,3742180039,0.831762673,1000000,3.75,0.080690745,0.30852505
102,3366085453,0.839160573,1000000,3.75,0.09844398,0.338678284
103,3922625068,0.735476317,1000000,3.75,0.092441364,0.332026709
104,3484868630,0.811012824,1000000,3.75,0.086442364,0.339362831
105,3709537967,0.849238348,1000000,3.75,0.096948685,0.303772144
106,3536229002,0.796630994,1000000,3.75,0.099181938,0.339540015
107,3783637932,0.796533056,1000000,3.75,0.077922902,0.318829814
108,3475648206,0.913489757,1000000,3.75,0.090491351,0.30182909
109,3792346047,0.815705949,1000000,3.75,0.112543429,0.308315596
110,3473786373,0.854111385,1000000,3.75,0.143746445,0.319288159
111,3413611485,0.78172013,1000000,3.75,0.096301024,0.358667906
112,3293697327,0.804089085,1000000,3.75,0.116581674,0.359807564
113,3577503775,0.838376715,1000000,3.75,0.067609671,0.321079148
114,3434551870,0.841527905,1000000,3.75,0.058015381,0.333874431
115,3264386660,0.84683348,1000000,3.75,0.096508529,0.346209431
116,3643559996,0.801604144,1000000,3.75,0.080602224,0.328803857
117,3501625333,0.807023868,1000000,3.75,0.09727244,0.338618781
118,3538008343,0.818647674,1000000,3.75,0.082093003,0.331457616
119,3341354647,0.770808544,1000000,3.75,0.092195648,0.371939555
120,3450539987,0.869975129,1000000,3.75,0.043578298,0.322451346
121,3422243359,0.789295287,1000000,3.75,0.099121978,0.354114535
122,3203553929,0.84096606,1000000,3.75,0.064235807,0.357712573
123,3884296123,0.740738857,1000000,3.75,0.114573527,0.331336413
124,3480197042,0.891624891,1000000,3.75,0.088062683,0.30898773
125,3191482392,0.863693483,1000000,3.75,0.090129265,0.34768207
126,3080028558,0.85028591,1000000,3.75,0.085009453,0.366346722
127,3560425136,0.77943831,1000000,3.75,0.030827088,0.349744879
128,3214843335,0.869690523,1000000,3.75,0.078685752,0.343618645
129,3430508954,0.848279332,1000000,3.75,0.048676347,0.332268548
130,3655301000,0.931213866,1000000,3.75,0.097602372,0.281101829
131,3534640593,0.788552538,1000000,3.75,0.056365376,0.346336931
132,3147273818,0.7729519,1000000,3.75,0.111137068,0.392176871
133,3716982628,0.803243134,1000000,3.75,0.078685952,0.321783448
134,3732637403,0.908773395,1000000,3.75,0.089985531,0.282537695
135,3768621087,0.800625805,1000000,3.75,0.129366636,0.314951867
136,3692007798,0.83488269,1000000,3.75,0.099065291,0.310321158
137,3812373540,0.814396609,1000000,3.75,0.094084825,0.308413654
138,3508127805,0.816450948,1000000,3.75,0.04841448,0.337602302
139,3524234572,0.814170137,1000000,3.75,0.074332533,0.335140152
140,3529822010,0.833038562,1000000,3.75,0.081538907,0.326525877
141,3632977693,0.829906991,1000000,3.75,0.080588399,0.318516486
142,3373565528,0.899539596,1000000,3.75,0.074051731,0.316900646
143,3511425411,0.837272889,1000000,3.75,0.023426953,0.330648099
144,3398987198,0.837606019,1000000,3.75,0.053309901,0.339287959
145,3136248801,0.782441741,1000000,3.75,0.108056611,0.389040854
146,3202277006,0.846605275,1000000,3.75,0.089393449,0.353560062
147,3838770484,0.827823085,1000000,3.75,0.045001977,0.304506676
148,3448712401,0.875077776,1000000,3.75,0.082224529,0.318103171
149,3325965880,0.829956797,1000000,3.75,0.081499122,0.347829128
150,3383868425,0.864139293,1000000,3.75,0.090339387,0.327731023
151,3238942806,0.832647246,1000000,3.75,0.099085032,0.354677206
152,3777105657,0.82775069,1000000,3.75,0.0860629,0.306799829
153,3474501194,0.770997685,1000000,3.75,0.103382353,0.356738494
154,3494578296,0.806402625,1000000,3.75,0.091046191,0.340018136
155,3675789466,0.922782769,1000000,3.75,0.096112211,0.282179492
156,3328118290,0.79787538,1000000,3.75,0.078837379,0.361787315
157,3301445479,0.854503905,1000000,3.75,0.092093288,0.339572754
158,3465510600,0.816948554,1000000,3.75,0.0821489,0.339091371
159,3252751699,0.829623594,1000000,3.75,0.064144144,0.357125791
160,3640419761,0.836221051,1000000,3.75,0.071086074,0.31610822
161,3734998968,0.828443169,1000000,3.75,0.097036758,0.309268667
162,3489349570,0.895619745,1000000,3.75,0.047473536,0.309478018
163,3416685475,0.73744576,1000000,3.75,0.043413577,0.384183081
164,3588771266,0.870727749,1000000,3.75,0.07516492,0.307681108
165,3395879138,0.843075637,1000000,3.75,0.07791644,0.335624872
166,3618893435,0.87565461,1000000,3.75,0.118497397,0.300586608
167,3252049875,0.848869668,1000000,3.75,0.095735018,0.346746904
168,3094997802,0.731881603,1000000,3.75,0.091162917,0.422996445
169,3890874032,0.831908387,1000000,3.75,0.042919087,0.299086178
170,3265326118,0.7633457,1000000,3.75,0.075036964,0.385738578
171,3540962264,0.889943135,1000000,3.75,0.059510751,0.306125534
172,3777682101,0.806229265,1000000,3.75,0.097304466,0.314181158
173,3640487083,0.832020745,1000000,3.75,0.073147321,0.317557982
174,3475244793,0.805055762,1000000,3.75,0.099020731,0.341894613
175,3739386530,0.798210872,1000000,3.75,0.090424117,0.321061971
176,3818088550,0.799667419,1000000,3.75,0.04983697,0.316609457
177,3571541597,0.826432011,1000000,3.75,0.08154905,0.325290761
178,3170829968,0.864782047,1000000,3.75,0.113383345,0.347759238
179,3568440392,0.767393604,1000000,3.75,0.087048608,0.350207334
180,3871376063,0.845766194,1000000,3.75,0.020637838,0.297069058
181,3353608464,0.783304343,1000000,3.75,0.098492518,0.364174999
182,3189617677,0.801236451,1000000,3.75,0.08961223,0.375044949
183,3202724795,0.844067338,1000000,3.75,0.137938018,0.350874556
184,3814611624,0.806337194,1000000,3.75,0.102131717,0.310774625
185,3564297777,0.790445893,1000000,3.75,0.091809732,0.340041067
186,3355171576,0.844682826,1000000,3.75,0.097419474,0.337633051
187,3978760936,0.79728819,1000000,3.75,0.045877121,0.304987759
188,3501415024,0.750443417,1000000,3.75,0.098530945,0.364072505
189,3754520493,0.864627741,1000000,3.75,0.083192032,0.295663571
190,3464775991,0.837668827,1000000,3.75,0.103290784,0.329273341
191,3282895112,0.796720004,1000000,3.75,0.091363122,0.366316492
192,3238648355,0.86223021,1000000,3.75,0.093008996,0.342987637
193,3726137517,0.848015804,1000000,3.75,0.064226037,0.30498803
194,3111596450,0.887911323,1000000,3.75,0.095764834,0.34646164
195,3491383685,0.834964644,1000000,3.75,0.059836737,0.330892723
196,3074230371,0.841076254,1000000,3.75,0.088778967,0.370756381
197,3596752746,0.826335443,1000000,3.75,0.087879049,0.322609699
198,3439891790,0.780717144,1000000,3.75,0.092651009,0.356664953
199,3866805843,0.795976573,1000000,3.75,0.118549134,0.309471563
200,3546033524,0.870246319,1000000,3.75,0.072273976,0.311754599
201,3542919092,0.856695654,1000000,3.75,0.104997198,0.31474332
202,3478786951,0.848900593,1000000,3.75,0.094046332,0.324252944
203,3347131061,0.833602465,1000000,3.75,0.090424791,0.343459153
204,3481828695,0.777421822,1000000,3.75,0.074218587,0.355265399
205,3277164718,0.8934836,1000000,3.75,0.14342073,0.323553672
206,3732370408,0.905768859,1000000,3.75,0.064719909,0.285034645
207,3663681792,0.898356119,1000000,3.75,0.097648511,0.290713809
208,3634256313,0.743474451,1000000,3.75,0.066000866,0.356532589
209,3514963368,0.739608778,1000000,3.75,0.087987789,0.368817381
210,3638056656,0.757525233,1000000,3.75,0.090047734,0.347756645
211,3185033487,0.908498403,1000000,3.75,0.077950947,0.332071434
212,3380137042,0.823708249,1000000,3.75,0.093084609,0.343993876
213,3480445223,0.845405375,1000000,3.75,0.093497884,0.32547679
214,3716368586,0.784935565,1000000,3.75,0.087389701,0.328728419
215,3638075365,0.875175828,1000000,3.75,0.083975907,0.30139871
216,3491171319,0.805476924,1000000,3.75,0.095022674,0.340449821
217,3774500738,0.852615264,1000000,3.75,0.047660331,0.300516312
218,3342845598,0.848017467,1000000,3.75,0.080631191,0.338765338
219,3474870286,0.904886637,1000000,3.75,0.066395192,0.306345456
220,3258852515,0.844302288,1000000,3.75,0.085296167,0.34867646
221,3815379684,0.836739936,1000000,3.75,0.098345335,0.299666725
222,3336600642,0.844019772,1000000,3.75,0.091401957,0.340219126
223,3846794761,0.864195006,1000000,3.75,0.075671174,0.289181908
224,3798656690,0.853975117,1000000,3.75,0.044666564,0.298319914
225,3378845984,0.838275329,1000000,3.75,0.007079431,0.34440006
226,3599883835,0.818560447,1000000,3.75,0.083286739,0.325711726
227,3653402932,0.840480696,1000000,3.75,0.08591898,0.312393439
228,3621597349,0.850969937,1000000,3.75,0.083833949,0.311391854
229,3676882377,0.878506859,1000000,3.75,0.108884052,0.295498508
230,3329089969,0.772899877,1000000,3.75,0.052926231,0.375443445
231,3525041360,0.767182135,1000000,3.75,0.086599554,0.354650885
232,3295998624,0.931010723,1000000,3.75,0.084669465,0.312681388
233,3105873674,0.731206499,1000000,3.75,0.080416071,0.422879169
234,3796108700,0.841915907,1000000,3.75,0.069427706,0.301200116
235,3034531277,0.828774739,1000000,3.75,0.062023821,0.383373312
236,3681391527,0.733097688,1000000,3.75,0.056196463,0.357697986
237,3602448171,0.902017998,1000000,3.75,0.113427201,0.293454812
238,3580817740,0.863345368,1000000,3.75,0.065345827,0.311655561
239,3158947095,0.784313909,1000000,3.75,0.121109113,0.384238285
240,3493293780,0.912894755,1000000,3.75,0.034259882,0.30413236
241,3186397353,0.883998631,1000000,3.75,0.063962169,0.342151611
242,3487948837,0.819934156,1000000,3.75,0.05880738,0.337364398
243,3334019150,0.801622838,1000000,3.75,0.083662632,0.359086788
244,3738627287,0.842239533,1000000,3.75,0.067100007,0.305865828
245,3066761692,0.84456885,1000000,3.75,0.080786971,0.370757959
246,3446597765,0.849930939,1000000,3.75,0.059737165,0.329297075
247,3693284756,0.780983706,1000000,3.75,0.07899821,0.333056114
248,3465233823,0.831870255,1000000,3.75,0.135076157,0.329253411
249,3349152447,0.849438249,1000000,3.75,0.012261511,0.342512221
250,3536090052,0.77403692,1000000,3.75,0.071062891,0.351581092
251,3712791100,0.767906945,1000000,3.75,0.104636369,0.33509581
252,3349288695,0.837986037,1000000,3.75,0.049037869,0.34447988
253,3191095569,0.772878966,1000000,3.75,0.109305867,0.38698074
254,3374673921,0.823065175,1000000,3.75,0.074268239,0.346215396
255,3617460157,0.842234882,1000000,3.75,0.110127843,0.313203508
256,3446449072,0.785499029,1000000,3.75,0.082706772,0.354575866
257,3668724567,0.808797154,1000000,3.75,0.086670524,0.323223109
258,3356881138,0.864235647,1000000,3.75,0.097403083,0.329827409
259,3445878612,0.80178299,1000000,3.75,0.077550848,0.347816455
260,3363909971,0.862544275,1000000,3.75,0.032692369,0.334377658
261,3403258185,0.821291237,1000000,3.75,0.065779406,0.344674626
262,3269390405,0.884691016,1000000,3.75,0.038144595,0.335043803
263,3658024963,0.840240301,1000000,3.75,0.076550497,0.312715841
264,3501428503,0.842375945,1000000,3.75,0.051331155,0.327634603
265,3030932156,0.830198954,1000000,3.75,0.039673181,0.384999762
266,3595426212,0.818311791,1000000,3.75,0.080779899,0.326390148
267,3377168103,0.926950832,1000000,3.75,0.119639303,0.304201691
268,3848010924,0.830656035,1000000,3.75,0.087861185,0.299977396
269,3403012649,0.741314236,1000000,3.75,0.055471577,0.382729218
270,3688403255,0.841578547,1000000,3.75,0.09497065,0.308424722
271,3795428486,0.838434728,1000000,3.75,0.053828973,0.303514623
272,3733343548,0.807844948,1000000,3.75,0.101054026,0.317020575
273,3096189749,0.841678518,1000000,3.75,0.099367695,0.367026447
274,3739675356,0.736913249,1000000,3.75,0.046053729,0.351058092
275,3316738032,0.794231237,1000000,3.75,0.08083506,0.364538126
276,3658300373,0.846905272,1000000,3.75,0.080851225,0.309945538
277,3570069010,0.831373424,1000000,3.75,0.061149164,0.324906499
278,3170229581,0.824309974,1000000,3.75,0.034738949,0.371101744
279,3897655520,0.854212378,1000000,3.75,0.094962288,0.287550219
280,3494715400,0.913704361,1000000,3.75,0.092007342,0.300014008
281,3923665067,0.845745142,1000000,3.75,0.060303395,0.290655242
282,3801522462,0.826439973,1000000,3.75,0.061199972,0.306942876
283,3523025890,0.842008787,1000000,3.75,0.095610714,0.322693311
284,3581632894,0.807097622,1000000,3.75,0.052093511,0.334243727
285,3540455862,0.760468281,1000000,3.75,0.041073156,0.359707316
286,3732416813,0.892251261,1000000,3.75,0.084005673,0.288156429
287,3599383396,0.834564727,1000000,3.75,0.039305096,0.322525987
288,3352689848,0.867604601,1000000,3.75,0.113088903,0.327846605
289,3389243409,0.876939967,1000000,3.75,0.038359308,0.326037493
290,3837219750,0.820877331,1000000,3.75,0.08381661,0.304669031
291,3703149742,0.709374824,1000000,3.75,0.074023576,0.366090226
292,3389657841,0.84650167,1000000,3.75,0.083455151,0.334482389
293,3542083576,0.771367379,1000000,3.75,0.05085004,0.353724748
294,3452669376,0.88581771,1000000,3.75,0.098948402,0.312759877
295,3701357256,0.851595347,1000000,3.75,0.073786297,0.305114583
296,3573725543,0.867859593,1000000,3.75,0.036542072,0.312562761
297,3788515525,0.856099908,1000000,3.75,0.048355238,0.298141796
298,3277945329,0.801887035,1000000,3.75,0.050305418,0.367723199
299,3495996096,0.862361473,1000000,3.75,0.097292238,0.317398567
300,3589977738,0.834845746,1000000,3.75,0.057529309,0.322009606
